hotel_name,price_euros,rating,neighborhood
Apartamentos Day Madrid PLAZA DE ESPAÑA Centro Gran Via Sol Malasaña,897.0,6.7,"Centro de Madrid, Madrid"
Hotel Julia,808.0,8.4,"San Blas, Madrid"
Puerto Alto Apartments by Olala Homes,975.0,8.5,"Puente de Vallecas, Madrid"
Apartamentos ALFISA Puerta del Sol,1.68,9.3,"Centro de Madrid, Madrid"
Hostal Pacios,361.0,7.5,"Centro de Madrid, Madrid"
Charming Gran Vía V - Largas Estancias,914.0,7.0,"Centro de Madrid, Madrid"
Casa Cobo Exclusivo Alojamiento en Madrid,808.0,7.9,"Latina, Madrid"
Medina - Luxury suite apt. Madrid center,1.545,9.2,"Chamberí, Madrid"
Apartamentos EconoStay Barbieri 1,557.0,6.1,"Centro de Madrid, Madrid"
min hostel capsules,292.0,6.7,"Ciudad Lineal, Madrid"
Apartamentos Day Madrid SAN ANTONIO Centro Gran Via Sol Malasaña,1.063,7.2,"Centro de Madrid, Madrid"
Generator Madrid,1.079,8.2,"Centro de Madrid, Madrid"
Dobo Homes SF6,726.0,9.0,"Puente de Vallecas, Madrid"
Hotel Sancho,1.232,8.7,"Arganzuela, Madrid"
Designer Apartment 3,1.273,9.6,"Chamartín, Madrid"
Fly Rooms Madrid Airport,1.0,9.0,"Barajas, Madrid"
Beautiful apartment with pool and padel - Belfast,588.0,9.3,"San Blas, Madrid"
Petit Palace Lealtad Plaza,2.59,8.4,"Retiro, Madrid"
Estudio acogedor y céntrico- 1B - Malasaña,946.0,8.3,"Centro de Madrid, Madrid"
Hotel Crowne Plaza Madrid Airport,844.0,8.6,"San Blas, Madrid"
AC Hotel Atocha by Marriott,1.44,8.7,"Arganzuela, Madrid"
OXYGEN HOSTEL Capsula,928.0,7.9,"Arganzuela, Madrid"
Las Meninas de Cavero,2.389,9.6,"Hortaleza, Madrid"
La Vivienda de Pedro Zerolo,777.0,6.0,"Centro de Madrid, Madrid"
Hostal Abadia Madrid,999.0,8.6,"Centro de Madrid, Madrid"
Dobo Homes - D14,1.002,8.0,"Centro de Madrid, Madrid"
"Hospes Puerta de Alcalá, a Member of Design Hotels",2.197,8.7,"Salamanca, Madrid"
BERNABEU/ C.UNIVERSITARIA APARTMENTS,1.118,7.1,"Tetuán, Madrid"
Hostal Atocha Almudena Martín,810.0,7.7,"Centro de Madrid, Madrid"
Modular Rooms,402.0,8.2,"Centro de Madrid, Madrid"
Hotel Mirador de Chamartín,860.0,8.4,"Ciudad Lineal, Madrid"
"The Principal Madrid, Small Luxury Hotels",2.288,8.7,"Centro de Madrid, Madrid"
Rosewood Villa Magna,5.292,9.6,"Salamanca, Madrid"
Hostel Ramon lujan 91,524.0,6.4,"Usera, Madrid"
MyHouseSpain - Fantastico piso nuevo cerca del centro,972.0,7.4,"Chamberí, Madrid"
